Timestamp,Running Status
1/01/2021 2:33,1
1/01/2021 10:24,1
1/01/2021 18:23,1
2/01/2021 2:14,1
2/01/2021 10:07,1
2/01/2021 18:07,1
3/01/2021 2:00,1
3/01/2021 9:53,1
3/01/2021 17:46,1
4/01/2021 1:39,1
4/01/2021 9:33,1
4/01/2021 17:27,1
5/01/2021 1:20,1
5/01/2021 9:11,1
5/01/2021 17:03,1
6/01/2021 0:56,1
6/01/2021 8:49,1
6/01/2021 16:41,1
7/01/2021 0:33,1
7/01/2021 8:26,1
7/01/2021 16:19,1
8/01/2021 0:12,1
8/01/2021 8:07,1
8/01/2021 16:00,1
8/01/2021 23:53,1
9/01/2021 7:45,1
9/01/2021 15:39,1
9/01/2021 23:30,1
10/01/2021 7:22,1
10/01/2021 15:16,1
10/01/2021 23:07,1
11/01/2021 7:01,1
11/01/2021 14:55,1
11/01/2021 22:49,1
12/01/2021 6:42,1
12/01/2021 14:34,1
12/01/2021 22:27,1
13/01/2021 6:21,1
13/01/2021 14:13,1
13/01/2021 22:06,1
14/01/2021 5:58,1
14/01/2021 13:53,1
14/01/2021 21:45,1
15/01/2021 5:38,1
15/01/2021 13:30,1
15/01/2021 21:24,1
16/01/2021 5:19,1
16/01/2021 13:12,1
16/01/2021 21:06,1
17/01/2021 5:00,1
17/01/2021 12:55,1
17/01/2021 20:48,1
18/01/2021 4:40,1
18/01/2021 12:34,1
18/01/2021 20:26,1
19/01/2021 4:19,1
19/01/2021 12:11,1
19/01/2021 20:04,1
20/01/2021 3:56,1
20/01/2021 11:50,1
20/01/2021 19:45,1
21/01/2021 3:38,1
21/01/2021 11:31,1
21/01/2021 19:25,1
22/01/2021 3:17,1
22/01/2021 11:11,1
22/01/2021 19:06,1
23/01/2021 2:59,1
23/01/2021 10:51,1
23/01/2021 18:41,1
24/01/2021 2:35,1
24/01/2021 10:26,1
24/01/2021 18:18,1
25/01/2021 2:11,1
25/01/2021 10:06,1
25/01/2021 17:59,1
26/01/2021 1:53,1
26/01/2021 9:46,1
26/01/2021 17:45,1
27/01/2021 1:39,1
27/01/2021 9:32,1
27/01/2021 17:25,1
